100043468	Zfp955b
Ifitm6	Ifitm6
Ifitm7	Ifitm7
Ikaros	Ikzf1
Impact	Impact
Impas 1	H13
Importin 9	Ipo9
Inhibin alpha subunit	Inha
Insulin receptor	Insr
Intersectin 2	Itsn2
Inversin	Invs
Iporin	Rusc2
Iqce	Iqce
Irisin	Fndc5
Itch	Itch
JAK2	Jak2
JAKMIP3	Jakmip3
JARID2	Jarid2
JHDM1D	Kdm7a
JIK	Taok3
JIP-2	Mapk8ip2
JMJD1A	Kdm3a
JMJD1B	Kdm3b
JMJD2A	Kdm4a
JMJD3	Kdm6b
JMJD6	Jmjd6
JMY	Jmy
JNK2(MAPK9)	Mapk9
JPH1	Jph1
JSAP1	Mapk8ip3
JWA	Arl6ip5
Jade-1	Jade1
Jagged2	Jag2
Jagged2 (CTF1)	Jag2
Jagged2 (CTF2)	Jag2
Jouberin	Ahi1
Jph4	Jph4
JunB	Junb
JunD	Jund
Junctophilin 3	Jph3
K-RAS	Kras
KAB	Cep170
KAD7	Ak7
KBP (Serpina3c)	Serpina3c
KBTBD3	Kbtbd3
KBTBD5	Klhl40
KCC2	Slc12a5
KCNAB1	Kcnab1
KCNAB3	Kcnab3
KCNC2	Kcnc2
KCNH5	Kcnh5
KCNK1	Kcnk1
KCNK10	Kcnk10
KCNK12	Kcnk12
KCNK15	Kcnk15
KCNK2	Kcnk2
KCNQ1	Kcnq1
KCNQ2	Kcnq2
KCNQ5	Kcnq5
KCRU	Ckmt1
KCTD10	Kctd10
KCTD15	Kctd15
KCTD18	Kctd18
KCTD9	Kctd9
KDELR1	Kdelr1
KDELR2	Kdelr2
KDELR3	Kdelr3
KDM2A	Kdm2a
KDM2B	Kdm2b
KEAP1	Keap1
KIAA0090	Emc1
KIAA0103	Emc2
KIAA0195	Tmem94
KIAA0232	D5Ertd579e
KIAA0247	Susd6
KIAA0256	Secisbp2l
KIAA0258	Rgp1
KIAA0376	Specc1l
KIAA0408	9330159F19Rik
KIAA0409	Rrp8
KIAA0460	Rprd2
KIAA0494	Efcab14
KIAA0513	6430548M08Rik
KIAA0528	C2cd5
KIAA0555	Jakmip2
KIAA0649	Ppp1r26
KIAA0754	Macf1
KIAA0774	Mtus2
KIAA0802	Mtcl1
KIAA0892	Mau2
KIAA0960	Thsd7a
KIAA1128	Ccser2
KIAA1217	Etl4
KIAA1267	Kansl1
KIAA1276	Fam184b
KIAA1333	G2e3
KIAA1447	Bahcc1
KIAA1467	Fam234b
KIAA1545	Fbrsl1
KIAA1549	D630045J12Rik
KIAA1604	Cwc22
KIAA1632	Epg5
KIAA1712	Cep44
KIAA1737	Cipc
KIAA1797	Focad
KIAA1838	Fam120b
KIAA2018	Usf3
KIDINS220	Kidins220
KIF13A	Kif13a
KIF13B	Kif13b
KIF16B (SNX23/C20orf23)	Kif16b
KIF1C	Kif1c
KIF21A	Kif21a
KIF26B	Kif26b
KIF3A	Kif3a
KIF4A	Kif4
KIF5A	Kif5a
KLD10	Klhdc10
KLEIP	Klhl20
KLF11 (TIEG2)	Klf11
KLF12	Klf12
KLF13	Klf13
KLF14	Klf14
KLF4	Klf4
KLF5	Klf5
KLF6	Klf6
KLF7	Klf7
KLHDC1	Klhdc1
KLHDC8B	Klhdc8b
KLHL1	Klhl1
KLHL13	Klhl13
KLHL22	Klhl22
KLHL23	Klhl23
KLHL24	Klhl24
KLHL29	Klhl29
KLHL30	Klhl30
KLHL5	Klhl5
KLHL8	Klhl8
KNDC1	Kndc1
KPC1	Rnf123
KRT222	Krt222
KRT26	Krt26
KRTAP7-1	Krtap7-1
KRTCAP2	Krtcap2
KTELC1	Poglut1
KTI12	Kti12
KTN1	Ktn1
KY protein	Ky
Kaiso	Zbtb33
Kalirin	Kalrn
Kappa-type opioid receptor	Oprk1
Karyopherin alpha 2	Kpna2
Karyopherin alpha 4	Kpna4
Karyopherin alpha 6	Kpna6
Karyopherin beta 1	Kpnb1
Kazrin	Kazn
Kendrin	Pcnt
Keratin 1	Krt1
Keratin 12	Krt12
Keratin 16	Krt16
Keratin 17	Krt17
Keratin 36	Krt36
Keratin 5	Krt5
Keratin 6L	Krt79
Keratin 75	Krt75
Keratin HA4	Krt34
Keratin-associated protein 7-1	Krtap7-1
Kif21b	Kif21b
Kir3.1	Kcnj3
Kir3.3	Kcnj9
Kizuna (C20orf19)	Kiz
Klhl15	Klhl15
Klhl33	Klhl33
Klra19	Klra19
Kv1.1	Kcna1
Kv1.2	Kcna2
Kv1.3	Kcna3
Kv1.4	Kcna4
Kv2.1	Kcnb1
Kv3.1	Kcnc1
Kv4.2 channel	Kcnd2
Kv4.3 channel	Kcnd3
Kv6.1	Kcng1
Kv6.2	Kcng2
L-Myc	Mycl
L-selectin	Sell
L1CAM	L1cam
L1CAM (CTF1)	L1cam
L1CAM (CTF2)	L1cam
L2HGDH	L2hgdh
L3MBTL2	L3mbtl2
LAGE3	Lage3
LAMA4	Lama4
LAMB1	Lamb1
LAMR1	Rpsa
LANCL1	Lancl1
LAP1	Tor1aip1
LAPTM4B	Laptm4b
LARP1	Larp1
LARP2	Larp1b
LARP5	Larp4b
LASS2	Cers2
LASS4	Cers4
LAT	Lat
LATS1	Lats1
LBH	Lbh
LCMR1	Med19
LCMT1	Lcmt1
LCRG1	Ggnbp2
LDB2	Ldb2
LDHB	Ldhb
LDLR	Ldlr
LDLRAD3	Ldlrad3
LEC1	Adgrl2
LEC2	Adgrl1
LENG1	Leng1
LEO1	Leo1
LETM1	Letm1
LETM2	Letm2
LGI1	Lgi1
LGI2	Lgi2
LGI3	Lgi3
LGN	Gpsm2
LGR4	Lgr4
LHFPL4	Lhfpl4
LHX6	Lhx6
LIAS	Lias
LIG-1	Lrig1
LIMCH1	Limch1
LIMD1	Limd1
LIN-37	Lin37
LIN-41	Trim71
LIN-52	Lin52
LINGO3	Lingo3
LIPE	Lipg
LIPH	Liph
LIPIN1	Lpin1
LIPM	Lipm
LIPP	Pnlip
LIX1L	Lix1l
LKB1	Stk11
LL5alpha	Phldb1
LLGL1	Llgl1
LMAN1	Lman1
LMF1	Lmf1
LMLN	Lmln
LMO2	Lmo2
LNEBL	Nebl
LOC102633679	A230006K03Rik
LOC147670	Smim17
LOC213332	Mfsd4b4
LOC240038	Zfp994
LOC245174	Zfp937
LOC320550	5930405F01Rik
LOC606495	Cyb5rl
LOC627872	Dnah7a
LOC681241	4921504E06Rik
LOC688786	Pet100
LOC691170	2610008E11Rik
LOC730130	Tmem229a
LOH12CR1	Borcs5
LONP	Lonp1
LONRF1	Lonrf1
LONRF2	Lonrf2
LONRF3	Lonrf3
LOXE3	Aloxe3
LPAR1	Lpar1
LPAR2	Lpar2
LPCAT1	Lpcat1
LPGAT1	Lpgat1
LPIN2	Lpin2
LPP2	Plpp2
LPP3	Plpp3
LPPR3 (PRG2)	Plppr3
LRCH2	Lrch2
LRCH3	Lrch3
LRCH4	Lrch4
LRFN1	Lrfn1
LRP1	Lrp1
LRP1 (ICD)	Lrp1
LRP12	Lrp12
LRP16	Macrod1
LRP1B	Lrp1b
LRP1B (CTF)	Lrp1b
LRP1B (ICD)	Lrp1b
LRP3	Lrp3
LRP4	Lrp4
LRRC20	Lrrc20
LRRC26	Lrrc26
LRRC28	Lrrc28
LRRC3B	Lrrc3b
LRRC40	Lrrc40
LRRC61	Lrrc61
LRRC8D	Lrrc8d
LRRCC1	Lrrcc1
LRRFIP2	Lrrfip2
LRRK2	Lrrk2
LRRN1	Lrrn1
LRRN2	Lrrn2
LRRN3	Lrrn3
LRRTM2	Lrrtm2
LRRTM3	Lrrtm3
LRSAM1	Lrsam1
LRWD1	Lrwd1
LSAMP	Lsamp
LSG1	Lsg1
LSM1	Lsm1
LSM10	Lsm10
LSM11	Lsm11
LSM12	Lsm12
LSM14A	Lsm14a
LSM3	Lsm3
LSM6	Lsm6
LSS	Lss
LSm7	Lsm7
LTA4H	Lta4h
LTBP2	Ltbp2
LTV1	Ltv1
LUC7A	Luc7l3
LUC7B1	Luc7l
LULL1	Tor1aip2
LUZP1	Luzp1
LXR-beta	Nr1h2
LYAR	Lyar
LYPD1	Lypd1
LYPD6B	Lypd6b
LYPLAL1	Lyplal1
LYRM1	Lyrm1
LYRM2	Lyrm2
LYRM4	Lyrm4
LYST	Lyst
LYZL1	Lyzl1
LYZL4	Lyzl4
LZTS1	Lzts1
Laeverin	Lvrn
Laforin	Epm2a
Lambda crystallin	Cryl1
Lamin A/C	Lmna
Lancl3	Lancl3
LargeNN	Nts
LargeNT	Nts
Lba1	Trank1
LeuRS	Lars2
Limkain b1	Marf1
Lingo1	Lingo1
Liprin-alpha3	Ppfia3
Liprin-beta 2	Ppfibp2
Lrrfip1 (mouse)	Lrrfip1
Lysmd3	Lysmd3
M18BP1	Mis18bp1
M33	Cbx2
M9	Eif3k
MA1A1	Man1a
MA1C1	Man1c1
MA2A2	Man2a2
MACF1	Macf1
MAD2b	Mad2l2
MAD3	Mxd3
MAD4	Mxd4
MADD	Madd
MAF1	Maf1
MAFbx	Fbxo32
MAG	Mag
MAGEF1	Magef1
MAGEL2	Magel2
MAGI-3	Magi3
MAGMAS	Pam16
MAL	Mal
MALS-2	Lin7b
MALS-3	Lin7c
MAML2	Maml2
MAMLD1	Mamld1
MAN1	Lemd3
MANA	Mpi
MANBAL	Manbal
MANEA	Manea
MANEAL	Maneal
MANSC1	Mansc1
MAP-1A	Map1a
MAP-1B	Map1b
MAP1LC3A	Map1lc3a
MAP1LC3B	Map1lc3b
MAP6D1	Map6d1
MAP7(EMAP115)	Map7
MAPK1IP1L	Mapk1ip1l
MAPKAPK3	Mapkapk3
MAPKBP1	Mapkbp1
MAPRPE1(EB1)	Mapre1
MARK1	Mark1
MARK2	Mark2
MARK3	Mark3
MARLIN1	Jakmip1
MASK	Ankhd1
MASP1	Masp1
MAST1	Mast1
MAST205	Mast2
MAST3	Mast3
MAT1	Mnat1
MAT2A	Mat2a
MAT2B	Mat2b
MATK	Matk
MAWBP	Pbld1
MAZ	Maz
MAZR	Patz1
MBD5	Mbd5
MBD6	Mbd6
MBIP	Mbip
MBLAC2	Mblac2
MBNL3	Mbnl3
MBT domain-containing protein 1	Mbtd1
MBTD1	Mbtd1
MC-CPA	Cpa3
MCART1	Slc25a51
MCART6	Slc25a53
MCCC2	Mccc2
MCEE	Mcee
MCFD2	Mcfd2
MCM2	Mcm2
MCM5	Mcm5
MCM7	Mcm7
MCM8	Mcm8
MCM9	Mcm9
MCP	Cd46
MCT-1	Mcts1
MDH2	Mdh2
MDM2	Mdm2
MDS025	Ccdc90b
MDS028	Itfg2
MED1	Med1
MED12L	Med12l
MED15	Med15
MED29	Med29
MED8	Med8
MED9	Med9
MEF2A	Mef2a
MEF2B	Mef2b
MEF2B	Mef2bl
MEF2C	Mef2c
MEGF10	Megf10
MEGF8	Megf8
MEI4	Mei4
MEIG1	Meig1
MEIS2	Meis2
MEK3(MAP2K3)	Map2k3
MEK6(MAP2K6)	Map2k6
MEL1	Prdm16
MEST	Mest
METT10D	Mettl16
METTL14	Mettl14
METTL4	Mettl4
METTL6	Mettl6
MEX3A	Mex3a
MEX3C	Mex3c
MFAP3	Mfap3
MFAP3L	Mfap3l
MFHAS1	Mfhas1
MFSD1	Mfsd1
MFSD8	Mfsd8
MGA	Mga
MGAT1	Mgat1
MGAT4A	Mgat4a
MGC13057	1700019D03Rik
MGC16169	Tbck
MGF	Kitl
MGST	Mgst1
MGST3	Mgst3
MIA	Mia
MICAL3	Mical3
MID1	Mid1
MID1IP1	Mid1ip1
MIF	Mif
MIF4GD	Mif4gd
MIG6	Errfi1
MINK1	Mink1
MINP1	Minpp1
MIP-T3	Traf3ip1
MIPOL1	Mipol1
MIR (Idol)	Mylip
MIRK	Dyrk1b
MITF	Mitf
MJD (ataxin-3)	Atxn3
MKI67IP	Nifk
MKK7 (MAP2K7)	Map2k7
MKP-1	Dusp1
MKP-2	Dusp4
MKP6	Dusp14
MKS1	Mks1
MLC1F	Myl1
MLH3	Mlh3
MLK1(MAP3K9)	Map3k9
MLL1 (HRX)	Kmt2a
MLL1C	Kmt2a
MLL1N	Kmt2a
MLL2	Kmt2d
MLL3	Kmt2c
MLL5	Kmt2e
MLLT11	Mllt11
MLN64	Stard3
MLSTD2	Far1
MLX	Mlx
MM-1	Pfdn5
MMADHC	Mmadhc
MMD	Mmd
MMP-15	Mmp15
MMP-16	Mmp16
MMP-17	Mmp17
MMP-2	Mmp2
MMP23B	Mmp23
MMR2	Mfsd6
MMS19L	Mms19
MMSA	Aldh6a1
MNK2(GPRK7)	Mknk2
MOBKL2B	Mob3b
MOBP	Mobp
MOC2B	Mocs2
MOCS1	Mocs1
MOCS2(small)	Mocs2
MOCS3	Mocs3
MOG1	Rangrf
MON1B	Mon1b
MORC2	Morc2a
MORN2	Morn2
MOSPD1	Mospd1
MOSPD2	Mospd2
MOZ	Kat6a
MPC1	Mpc1
MPC2	Mpc2
MPGF	Gcg
MPP alpha	Pmpca
MPP1	Mpp1
MPP11	Dnajc2
MPP3 (DLG3)	Mpp3
MPP7	Mpp7
MPP8	Mphosph8
MPPED1	Mpped1
MPPED2	Mpped2
MPV17L	Mpv17l
MR-GEF	Rapgef5
MRCKalpha	Cdc42bpa
MRF-1	Arid5a
MRFAP1	Gm5814
MRFAP1L1	Mrfap1
MRGX	Morf4l2
MRM1	Mrm1
MRPL11	Mrpl11
MRPL13	Mrpl13
MRPL16	Mrpl16
MRPL17	Mrpl17
MRPL18	Mrpl18
MRPL20	Mrpl20
MRPL21	Mrpl21
MRPL28	Mrpl28
MRPL32	Mrpl32
MRPL33	Mrpl33
MRPL35	Mrpl35
MRPL36	Mrpl36
MRPL37	Mrpl37
MRPL41	Mrpl41
MRPL43	Mrpl43
MRPS12	Mrps12
MRPS14	Mrps14
MRPS16	Mrps16
MRPS17	Mrps17
MRPS25	Mrps25
MRPS27	Mrps27
MRPS30	Mrps30
MRPS36	Mrps36
MRPS5	Mrps5
MRPS6	Mrps6
MRPS9	Mrps9
MRRF	Mrrf
MRS2L	Mrs2
MS4A8B	Ms4a8a
MSG1	Cited1
MSH3	Msh3
MSH5	Msh5
MSK1	Rps6ka5
MSL3L2	Msl3l2
MSR1	Msr1
MSTO1	Msto1
MSX-2	Msx2
MT-ND5	ND5
MTCBP-1	Adi1
MTCH1	Mtch1
MTERFD3	Mterf2
MTF-2	Mtf2
MTGR1	Cbfa2t2
MTHFD2	Mthfd2
MTIF2	Mtif2
MTM1	Mtm1
MTMR10	Mtmr10
MTMR13	Sbf2
MTMR3	Mtmr3
MTMR4	Mtmr4
MTMR6	Mtmr6
MTMR7	Mtmr7
MTRF1L	Mtrf1l
MUC1	Muc1
MUC1-CT	Muc1
MUC1-NT	Muc1
MUL	Trim37
MUL1	Mul1
MUS81	Mus81
MUSK	Musk
MVD	Mvd
MYADML2	Myadml2
MYBPC1	Mybpc1
MYBPC3	Mybpc3
MYBPH	Mybph
MYCBP2	Mycbp2
MYH10	Myh10
MYH14	Myh14
MYH9	Myh9
MYLPF	Mylpf
MYO1H	Myo1h
MYO3B	Myo3b
MYO5C	Myo5c
MYO9A	Myo9a
MYR8	Myo16
MYRIP	Myrip
MYSM1	Mysm1
MYT1	Myt1
MafF	Maff
MafK	Mafk
Mago nashi	Magoh
Makorin-1	Mkrn1
Malin	Nhlrc1
Mapk1ip1	Mapk1ip1
Marveld1	Marveld1
Matrin-3	Matr3
Mcl-1	Mcl1
Mcpt4 (rodent)	Mcpt4
Mcpt8	Mcpt8
Mdga2	Mdga2
MeCP2	Mecp2
Med7	Med7
Menin	Men1
MetAP-2	Metap2
Metallothionein-III	Mt3
Metallothionein-IV	Mt4
MgDP1	Mdp1
Mi-2 alpha	Chd3
Mi-2 beta	Chd4
Mia3	Mia3
Microcephalin	Mcph1
Midn	Midn
Migfilin	Fblim1
MinK	Kcne1
Miro-2	Rhot2
Mitofusin 2	Mfn2
Ms4a4c	Ms4a4c
Mszf37	Zfp961
Mu-type opioid receptor	Oprm1
Musculin	Msc
Muted	Bloc1s5
Mycs	Mycs
Myelin basic protein	Mbp
Myeloblastin	Prtn3
Myosin VI	Myo6
Myosin Vb	Myo5b
Myospryn	Cmya5
Myt1L	Myt1l
N-CoR	Ncor1
N-Ras	Nras
N-cadherin	Cdh2
N-cadherin (CTF1)	Cdh2
N-cadherin (CTF2)	Cdh2
N-chimaerin	Chn1
N-glycanase 1	Ngly1
N-type Ca(II) channel alpha1B	Cacna1b
N28178	Phf24
N4BP1	N4bp1
N4BP2L1	N4bp2l1
N4BP3	N4bp3
N6amt2	Eef1akmt1
NAA25	Naa25
NAA50	Naa50
NAALADL2	Naaladl2
NAB1	Nab1
NAB2	Nab2
NAF1	Naf1
NAG	Nbas
NAG14	Lrrc4
NAG6	Ccdc136
NAGLU	Naglu
NAGPA	Nagpa
NAIF1	Naif1
NALCN	Nalcn
NANOG	Nanog
NAP5	Nckap5
NAPB	Napb
NARF	Rnf138
NARS2	Nars2
NASP	Nasp
NAT-1	Nat2
NAT-2	Nat1
NAV1	Nav1
NAV3	Nav3
NBEAL1	Nbeal1
NBEAL2	Nbeal2
NBR1	Nbr1
NCAG1	Dsel
NCAM1	Ncam1
NCAM2	Ncam2
NCCRP1	Nccrp1
NCK1	Nck1
NCK2	Nck2
NCKX3	Slc24a3
NCOA1 (SRC1)	Ncoa1
NCOA2 (GRIP1/TIF2)	Ncoa2
NCOA6 (TRBP)	Ncoa6
NCS-1	Ncs1
NDFIP2	Ndfip2
NDPK 6	Nme6
NDPK 7	Nme7
NDPK A	Nme1
NDPK B	Nme2
NDR2	Stk38l
NDRG1	Ndrg1
NDRG2	Ndrg2
NDRG3	Ndrg3
NDRG4	Ndrg4
NDUFA1	Ndufa1
NDUFA13	Ndufa13
NDUFA3	Ndufa3
NDUFA5	Ndufa5
NDUFA6	Ndufa6
NDUFA7	Ndufa7
NDUFA8	Ndufa8
NDUFAB1	Ndufab1
NDUFB2	Ndufb2
NDUFB6	Ndufb6
NDUFB7	Ndufb7
NDUFB8	Ndufb8
NDUFS5	Ndufs5
NDUFS7	Ndufs7
NDUFS8	Ndufs8
NDUFV3	Ndufv3
NEBL	Nebl
NECAP1	Necap1
NEDD4L	Nedd4l
NEFH	Nefh
NEFM	Nefm
NEK4	Nek4
NEK6	Nek6
NEK7	Nek7
NEK9	Nek9
NELL2	Nell2
NEP1	Emg1
NEPH2	Kirrel3
NET1	Net1
NETO2	Neto2
NEU3	Neu3
NEUR1	Neu1
NF-AT5	Nfat5
NF-kB1 (p105)	Nfkb1
NF-kB1 (p50)	Nfkb1
NF45 (ILF2)	Ilf2
NFAT-90	Ilf3
NFBD1	Mdc1
NFE2L1	Nfe2l1
NFIB	Nfib
NFIC	Nfic
NFIX	Nfix
NFKBID	Nfkbid
NFKBIL1	Nfkbil1
NFS1	Nfs1
NFYC	Nfyc
NGF	Ngf
NGL-1	Lrrc4c
NHE7	Slc9a7
NHSL2	Nhsl2
NICN1	Nicn1
NID67	Smim3
NIF3L1	Nif3l1
NIFIE14	Tmem147
NIM1	Nim1k
NIP2	Bnip2
NIP7	Nip7
NIPA1	Nipa1
NIPA4	Nipal4
NKAIN4	Nkain4
NKAP	Nkap
NKIRAS1	Nkiras1
NKRF	Nkrf
NLRX1	Nlrx1
NMD3	Nmd3
NMNA3	Nmnat3
NMP200	Prpf19
NMRAL1	Nmral1
NMT1	Nmt1
NMT2	Nmt2
NN	Nts
NOC2L	Noc2l
NOC4	Emc8
NOC4L	Noc4l
NOL1	Nop2
NOL10	Nol10
NOL4	Nol4
NOL6	Nol6
NOL8	Nol8
NOLA2 (NHP2)	Nhp2
NOMO1	Nomo1
NOPE	Igdcc4
NOR1	Nr4a3
NOSIP	Nosip
NOSTRIN	Nostrin
NOTCH2 (2ICD)	Notch2
NOTCH2 receptor	Notch2
NOTCH2(NEXT)	Notch2
NOTCH4 (ICD4)	Notch4
NOTCH4 receptor	Notch4
NOXA	Pmaip1
NP14	Nolc1
NPAL3	Nipal3
NPARF	Narf
NPAS3	Npas3
NPEPL1	Npepl1
NPEPPS	Npepps
NPL	Npl
NPL4	Nploc4
NPNT	Npnt
NPRL3	Nprl3
NPTX1	Nptx1
NPTX2	Nptx2
NPY2R	Npy2r
NQO1	Nqo1
NR1	Grin1
NR2B	Grin2b
NR2D	Grin2d
NR2F1	Nr2f1
NR3A	Grin3a
NRAMP2	Slc11a2
NRBF2	Nrbf2
NRBP	Nrbp1
NRF3	Nfe2l3
NRIP	Dcaf6
NRIP3	Nrip3
NRN1L	Nrn1l
NRTN	Nrtn
NSE4A	Nsmce4a
NSF	Nsf
NSUN3	Nsun3
NSUN5	Nsun5
NT	Nts
NT/NN	Nts
NT5C	Nt5c
NT5DC2	Nt5dc2
NT5DC3	Nt5dc3
NTAN1	Ntan1
NTN4	Ntn4
NTPBP	Gpn1
NUAK1	Nuak1
NUBPL	Nubpl
NUCKS	Nucks1
NUD9	Nudt9
NUDCD1	Nudcd1
NUDCD3	Nudcd3
NUDEL	Ndel1
NUDT14	Nudt14
NUDT3	Nudt3
NUDT5	Nudt5
NUDT8	Nudt8
NUFIP2	Nufip2
NUMA1	Numa1
NUMBL	Numbl
NUP107	Nup107
NUP133	Nup133
NUP155	Nup155
NUP205	Nup205
NUP210	Nup210
NUP43	Nup43
NUP50	Nup50
NUP88	Nup88
NUP98	Nup98
NUR77	Nr4a1
NURR1	Nr4a2
NXF	Npas4
NXF1	Nxf1
NXF2	Nxf2
NXP2	Morc3
NXT1	Nxt1
NXT2	Nxt2
Na(v) beta 1	Scn1b
Nat8l	Nat8l
Nav1.6	Scn8a
NckAP1	Nckap1
Ncrna00117	Prorsd1
Ndg1	Khdc1a
Necab2	Necab2
Nectin-3	Nectin3
Nek2A	Nek2
Nelin	Nexn
Neogenin	Neo1
Neprilysin	Mme
Nesprin 1	Syne1
Netrin-1	Ntn1
Netrin-G1	Ntng1
NeuN	Rbfox3
Neurabin-1	Ppp1r9a
Neuralized-2	Neurl1b
Neurexin-3 alpha	Nrxn3
Neurexin-3 beta	Nrxn3
Neurexophilin 1	Nxph1
Neurexophilin 4	Nxph4
Neurobeachin	Nbea
Neurochondrin	Ncdn
Neurofascin	Nfasc
Neurofibromin	Nf1
Neuroglobin	Ngb
Neuroglycan C	Cspg5
Neurogranin	Nrgn
Neuroligin 1	Nlgn1
Neuroligin 2	Nlgn2
Neuromedin B	Nmb
Neuromedin U receptor 2	Nmur2
Neuronatin	Nnat
Neuropeptide 1	Pnoc
Neuropeptide 2	Pnoc
Neuropilin-1	Nrp1
Neurotractin	Negr1
Neurotrimin	Ntm
Nibrin	Nbn
Ninein	Nin
Nir1	Pitpnm3
Nitrilase 1	Nit1
Nociceptin	Pnoc
Nociceptin receptor	Oprl1
Nocturnin	Noct
Noelin	Olfm1
Non-muscle myosin IIA	Myl7
Nop14	Nop14
Nova1	Nova1
Nucb1	Nucb1
Nucleophosmin	Npm1
NudC	Nudc
Nus1	Nus1
Nxf7	Nxf7
O-fucose	Pofut1
OASIS	Creb3l1
OAT	Oat
OAZ3	Oaz3
OAZIN	Azin1
OBP2A	Obp2a
OCIAD2	Ociad2
OCTN1	Slc22a4
ODF2	Odf2
ODZ2	Tenm2
ODZ3	Tenm3
ODZ4	Tenm4
OFD1	Ofd1
OGFOD1	Ogfod1
OGFR	Ogfr
OGFRL1	Ogfrl1
OGT (GlcNAc transferase)	Ogt
OIP106	Trak1
OLFM2	Olfm2
OLFML1	Olfml1
OLIG1	Olig1
OMgp	Omg
ONECUT3	Onecut3
OPA3	Opa3
ORAI1	Orai1
ORC1L	Orc1
ORC3L	Orc3
ORC4L	Orc4
ORC5L	Orc5
ORC6L	Orc6
ORP1	Osbpl1a
ORP2	Osbpl2
ORP8	Osbpl8
OSAP	Mgarp
OSBP2	Osbp2
OSBPL11	Osbpl11
OSBPL3	Osbpl3
OSCAR	Oscar
OSF-2	Postn
OSGEP	Osgep
OSGEPL1	Osgepl1
OSGIN2	Osgin2
OSR1	Oxsr1
OSTF1	Ostf1
OSTbeta	Slc51b
OTC	Otc
OTP	Otp
OTUD1	Otud1
OTUD6B	Otud6b
OTUD7A	Otud7a
OTUD7B	Otud7b
OXR1	Oxr1
OXSM	Oxsm
Oct-1	Pou2f1
Omt2b	Omt2b
Otoferlin	Otof
Oxyntomodulin	Gcg
P-cadherin	Cdh3
P2Y12	P2ry12
P311	Nrep
P4H-TM	P4htm
P4HB	P4hb
P53CSV	Triap1
P53DINP1a	Trp53inp1
PA200	Psme4
PABP2	Pabpn1
PABPC1	Pabpc1
PABPC1L	Pabpc1l
PABPC4	Pabpc4
PABPC5	Pabpc5
PACAP receptor 1	Adcyap1r1
PACRGL	Pacrgl
PACS-1	Pacs1
PAF1	Paf1
PAFAH alpha (LIS1)	Pafah1b1
PAFAH gamma	Pafah1b3
PAHX	Phyh
PAHX-AP1	Phyhip
PAI2	Serpinb2
PAICS	Paics
PAK3	Pak3
PAK6	Pak6
PAN3	Pan3
PANK2	Pank2
PANK4	Pank4
PANX2	Panx2
PAOX	Paox
PAPSS1	Papss1
PAQR7	Paqr7
PAQR8	Paqr8
PAQR9	Paqr9
PARC	Cul9
PARD3	Pard3
PARD6A	Pard6a
PARD6B	Pard6b
PARD6G	Pard6g
PARN	Parn
PATL1	Patl1
PBEF	Nampt
PBR	Tspo
PBX1	Pbx1
PBX3	Pbx3
PC-TP	Pctp
PC1	Pcsk1
PC7	Pcsk7
PCBP-1	Pcbp1
PCBP-2	Pcbp2
PCBP-4 (mcg10)	Pcbp4
PCDH10	Pcdh10
PCDH11X	Pcdh11x
PCDH17	Pcdh17
PCDH20	Pcdh20
PCDH21	Cdhr1
PCDHB12	Pcdhb19
PCDHB14	Pcdhb20
PCDHB15	Pcdhb22
PCDHB16	Pcdhb17
PCDHB7	Pcdhb15
PCDHB8	Pcdhb16
PCGF2 (Mel-18)	Pcgf2
PCGF5	Pcgf5
PCM1	Pcm1
PCMTD1	Pcmtd1
PCMTD2	Pcmtd2
PCNA	Pcna
PCNP	Pcnp
PCNT1	Nup85
PCSK9	Pcsk9
PCYOX1	Pcyox1
PCYOX1L	Pcyox1l
PD-L2	Pdcd1lg2
PDCD10	Pdcd10
PDCD4	Pdcd4
PDCD6	Pdcd6
PDCL3	Pdcl3
PDE10A	Pde10a
PDE1B	Pde1b
PDE1C	Pde1c
PDE4A	Pde4a
PDE6D	Pde6d
PDE6H	Pde6h
PDE7B	Pde7b
PDE8A	Pde8a
PDGF-B	Pdgfb
PDGF-C	Pdgfc
PDGF-R-alpha	Pdgfra
PDH beta	Pdhb
PDIA3	Pdia3
PDIA5	Pdia5
PDIP1	Kctd13
PDIP46	Poldip3
PDK1	Pdk1
PDK2	Pdk2
PDK3	Pdk3
PDP1	Pdp1
PDP2	Pdp2
PDPR	Pdpr
PDRG1	Pdrg1
PDSS2	Pdss2
PDX1	Pdhx
PDXK	Pdxk
PDXP	Pdxp
PDZ-GEF1	Rapgef2
PDZ-RhoGEF	Arhgef11
PDZD11	Pdzd11
PDZK1	Pdzk1
PDZK4	Pdzd4
PDZRN4	Pdzrn4
PEDF-R (iPLA2-zeta)	Pnpla2
PEG3	Peg3
PELP1	Pelp1
PER1	Per1
PER2	Per2
PER3	Per3
PERC	Ppargc1b
PERP	Perp
PES1	Pes1
PEX11b	Pex11b
PEX14	Pex14
PEX26	Pex26
PEX3	Pex3
PEX5R	Pex5l
PFD6L	Ccdc30
PFN4	Pfn4
PGAP1	Pgap1
PGDS	Hpgds
PGHD	Ptgds
PGK1	Pgk1
PGM2L1	Pgm2l1
PGP	Pgp
PHACTR2	Phactr2
PHACTR3	Phactr3
PHAP1 (pp32)	Anp32a
PHF1	Phf1
PHF10	Phf10
PHF12	Phf12
