Interactions Report,,,,,,,,,
,From,,To,,,,,,
2352,UBE2A,Generic enzyme,p53,Transcription factor,Activation,Transcription regulation,x,UBE2A co-activates transcription of p53 .,12640129;12660246;22083959;24506068
2353,NF-AT5,Transcription factor,Pellino 1,Generic enzyme,Activation,Transcription regulation,x,NF-AT5 activates transcription of Pellino 1.,38338716
2354,AML1 (RUNX1),Transcription factor,TGF-beta 2,Receptor ligand,Activation,Transcription regulation,x,AML1 (RUNX1) activates transcription of TGF-beta 2.,28407681;30185409;30500954
2355,c-Myb,Transcription factor,CPEB4,Generic binding protein,Inhibition,Transcription regulation,x,c-Myb inhibits transcription of CPEB4.,26208222
2356,ETO,Transcription factor,Bcl-6,Transcription factor,Activation,Binding,x,"MTG8 (ETO) binds to the fourth zinc finger of Bcl-6, enhances Bcl-6 repression of artificial and endogenous genes in an HDAC-dependent manner, and forms a complex with Bcl-6 on the promoters of its endogenous target genes in B-cell lymphoma cells.",14551142
2357,SLC3A2,Generic channel,GLUT1,Transporter,Activation,Binding,x,4F2hc binds to GLUT1 and increases the amount of GLUT1 protein in HeLa and HepG2 cells with increased glucose uptake.,21270293
2358,YY1,Transcription factor,PRKCBP1,Generic binding protein,Inhibition,Transcription regulation,x,YY1 interacts with PRKCBP1.,17721549;28232094
2359,Nucleophosmin,Generic binding protein,hnRNP A1,Generic binding protein,Activation,Binding,x,Nucleophosmin binds to and activates hnRNP A1.,18809582;20101230;23483572
2360,c-Fos,Transcription factor,C/EBPalpha,Transcription factor,Activation,Binding,x,"Endogenous C/EBPalpha co-immunoprecipitated with endogenous c-Jun, JunB or c-Fos from a myeloid cell nuclear extract (Figure 2b), and endogenous C/EBPalpha co-localizes with c-Jun or c-Fos by confocal microscopy in myeloid cells.",18026136;23661758
2361,Ikaros,Transcription factor,LEC1,GPCR,Activation,Transcription regulation,x,Ikaros activates transcription of LEC1.,24509509
2362,YY1,Transcription factor,BCCIP,Generic binding protein,Activation,Transcription regulation,x,BCCIP promoter has a putative YY1-binding site.,11112350;12527204;17567998;27535137;29932276;31035388
2363,UBC,Generic binding protein,GSK3 beta,Protein kinase,Inhibition,Binding,x,UBC binds to and inhibits GSK3 beta.,35279748
2364,RBBP5,Generic binding protein,GRP78,Generic binding protein,Activation,Transcription regulation,x,RBBP5 co-activates transcription of GRP78.,23894581
2365,SPHK2,Lipid kinase,HDAC2,Generic enzyme,Inhibition,Binding,x,Endogenous SphK2  associated with HDAC1 and HDAC2 and interacted with histone H3.,19729656
2366,CUGBP1,Generic binding protein,Gelsolin,Generic binding protein,Inhibition,Binding,x,CUGBP1 interacts with Gelsolin mRNA.,20547756
2367,YTHDF1,Protein,DDX17,Generic enzyme,Activation,Binding,x,YTHDF1 binds to and activates DDX17.,33605073
2368,GCR,Transcription factor,NXF,Transcription factor,Inhibition,Transcription regulation,x,GR interacts with the Npas4 promoter in Neuro2a cells.,23020797;32619221
2369,GABP alpha,Transcription factor,PA200,Generic binding protein,Activation,Transcription regulation,x,GABP alpha probably regulates transcription of PA200.,17652178;20019798;21139080
2370,NCS-1,Generic binding protein,IP3R1,Ligand-gated ion channel,Activation,Binding,x,NCS-1 modulates calcium signaling by enhancing InsP3-mediated activity of InsP3R1 and thereby amplifying the calcium signal.,16691292;17114292;21737792;31659121
2371,MeCP2,Generic binding protein,BAF57,Generic binding protein,Activation,Binding,x,MeCP2 binds to and activates BAF57.,15696166;38096051
2372,CTCF,Transcription factor,PI3K reg class IB (p101),Generic binding protein,Inhibition,Transcription regulation,x,CTCF inhibits transcription of PI3K reg class IB (p101).,18555785;19796622;32451376;32807777;37489832
2373,Sestrin 3,Generic binding protein,SMAD7,Transcription factor,Inhibition,Binding,x,Sestrin 3 binds to and inhibits SMAD7.,31215672
2374,TRPS1,Transcription factor,SIP1 (ZFHX1B),Transcription factor,Inhibition,Transcription regulation,x,Endogenous TRPS1 binds to the ZEB2 promoter.,21673316;26969828
2375,JAK2,Protein kinase,ROCK2,Protein kinase,Activation,Binding,x,JAK2 binds to and activates ROCK2.,30413785
2376,PARD6A,Generic binding protein,NAG14,Generic receptor,Activation,Binding,x,PARD6A binds to and activates NAG14.,25948265
2377,Androgen receptor,Transcription factor,DTL (hCdt2),Generic binding protein,Activation,Transcription regulation,x,Androgen receptor activates transcription of DTL (hCdt2).,21909140;27760327;30185422
2378,Androgen receptor,Transcription factor,BAD,Generic binding protein,Activation,Binding,x,Androgen receptor binds to and activates BAD.,37686282
2379,RING1,Generic enzyme,HOXA2,Transcription factor,Inhibition,Transcription regulation,x,RING1 co-inhibits transcription of HOXA2.,24285299
2380,STAT1,Transcription factor,PERC,Generic binding protein,Activation,Transcription regulation,x,STAT1 binds to gene PERC promoter and activates PERC expression.,17671090
2381,Sirtuin6,Generic enzyme,H-FABP,Generic binding protein,Inhibition,Transcription regulation,x,Sirtuin6 co-inhibits transcription of H-FABP.,34077730
2382,eIF4G2,Generic binding protein,Mi-2 alpha,Generic binding protein,Activation,Binding,x,eIF4G2 binds to and activates Mi-2 alpha.,35961752
2383,PEG3,Transcription factor,MKP-1,Protein phosphatase,Inhibition,Transcription regulation,x,PEG3 inhibits transcription of MKP-1 .,23078764;26692216;26695186
2384,YTHDF1,Protein,FOXO3A,Transcription factor,Activation,Binding,x,YTHDF1 binds to and activates FOXO3A.,32368828;36195598
2385,p53,Transcription factor,FKHR,Transcription factor,Activation,Transcription regulation,x,p53 activates transcription of FKHR.,11353774;23255113;24003036;30465059
2386,PROX1,Transcription factor,Neuropilin-1,Generic receptor,Inhibition,Transcription regulation,x,"VEGFR-3, FGFR-3 and neuropilin-1 expression is cooperatively activated by Prox1 and its binding partner COUP-TFII.",12412020;12883994;16445911;18815287;20351309
2387,UBE2D2,Generic enzyme,WWP2,Generic enzyme,Activation,Binding,x,UBE2D2 binds to and activates WWP2.,22496338
2388,STAT3,Transcription factor,Nucleophosmin,Generic binding protein,Activation,Transcription regulation,x,STAT3 physically interacts with Nucleophosmin.,14968112;20717991;24793791;25840984
2389,Beta-fodrin,Generic binding protein,Ankyrin-B,Generic binding protein,Activation,Binding,x,Beta-fodrin binds to and activates Ankyrin-B.,15262991;16687515;31209033
2390,CD163,Generic receptor,"Casein kinase II, beta chain (Phosvitin)",Generic binding protein,Activation,Binding,x,The regulatory beta-subunit of casein kinase II (CKII) specifically binds to the cytoplasmic domain of CD163 and its isoforms.,11298324;18563533;30258108
2391,Alpha crystallin A,Generic binding protein,CFTR,Generic channel,Inhibition,Binding,x,Alpha crystallin A interacted preferentially with deltaF508-CFTR and Overexpression of the Human crystallin-A accelerates deltaF508-CFTR degradation in HEK293 Cells.,17182856
2392,SMAD4,Transcription factor,MDM2,Generic enzyme,Activation,Transcription regulation,x,SMAD4 binds to promoter of MDM2 and activates transcription.,19955655
2393,SOX2,Transcription factor,B3GT3,Generic enzyme,Activation,Transcription regulation,x,SOX2 activates transcription of B3GT3.,19884255;38951654
2394,IMP2,Generic binding protein,RNF43,Generic enzyme,Activation,Binding,x,IMP2 binds to and activates RNF43.,38988031
2395,RXRA,Transcription factor,DPP4,Generic protease,Activation,Transcription regulation,x,RXRA activates transcription of DPP4.,33972682;36347014
2396,ATF-3,Transcription factor,DSCAM,Generic binding protein,Activation,Transcription regulation,x,ATF-3 activates transcription of DSCAM.,25378309;37591871
2397,NANOG,Transcription factor,FLJ22318,Protein,Activation,Transcription regulation,x,"Probably, FLJ22318 is one of the Nanog genomic targets in murine ES cells.",18700969;19884255;33915080
2398,NANOG,Transcription factor,PDGF-R-alpha,Receptor with enzyme activity,Activation,Transcription regulation,x,"Probably, PDGF-R-alpha is one of the Nanog genomic targets in murine ES cells.",18700969;19884255;23770853;25988972;33915080
2399,YY1,Transcription factor,BRG1,Generic enzyme,Activation,Transcription regulation,x,SP3 and YY1 bind and activate BG1 promoter.,17721549;21149256;31913353
2400,Glis2,Transcription factor,STAT3,Transcription factor,Activation,Transcription regulation,x,Glis2 activates transcription of STAT3.,30523147
2401,PHF1,Transcription factor,Cullin 4B,Generic binding protein,Activation,Binding,x,PHF1 binds to and activates Cullin 4B.,29846670
2402,UBE2B,Generic enzyme,STARING,Generic enzyme,Activation,Binding,x,hRAD6A/UBE2A and hRAD6B directly bound to the hBRE1 (RNAF20/STARING) complex. Human RAD6 Ubiquitylates Chromatin-associated H2B at Lysine 120 Only in the Presence of the Human BRE1 Complex. RAD6 is the cognate E2 of the BRE1 complex and solely responsible for H2B ubiquitylation at lysine 120 in human cells.,19410543;21443952;25582440
2403,EPAS1,Transcription factor,YTHDF2,Generic binding protein,Inhibition,Transcription regulation,x,EPAS1 inhibits transcription of YTHDF2.,23275444;31735169
2404,JMJD1A,Generic enzyme,SAHH,Generic enzyme,Activation,Transcription regulation,x,Oct1-facilitated recruitment of Jmjd1a mediates Polr2a and Ahcy anti-repression in fibroblasts.,21051540
2405,NUR77,Transcription factor,VEGF-A,Receptor ligand,Activation,Transcription regulation,x,NUR77 coregulates and activates VEGF-A promoter.,15385570
2406,TCF7L2 (TCF4),Transcription factor,SLC1A2/EAAT2,Transporter,Activation,Transcription regulation,x,TCF7L2 (TCF4) activates transcription of SLC1A2/EAAT2.,23260145;32675279
2407,c-Cbl,Generic enzyme,IFT20,Generic binding protein,Activation,Binding,x,c-Cbl binds to and activates IFT20.,29237719
2408,RelA (p65 NF-kB subunit),Transcription factor,SLC3A2,Generic channel,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) binds to gene SLC3A2 promoter and activates SLC3A2 expression.,17023546
2409,GCN5,Generic enzyme,IFNA1,Receptor ligand,Activation,Transcription regulation,x,"TBP, IRF3, IRF7, PCAF and GCN5 bind to the gene IFNA1 promoter.",22685561
2410,SOX2,Transcription factor,SLC39A8,Transporter,Activation,Transcription regulation,x,SOX2 activates transcription of SLC39A8.,33915080;38951654
2411,CTCF,Transcription factor,GSTM5,Generic enzyme,Activation,Transcription regulation,x,CTCF activates transcription of GSTM5.,18555785;35093191;37489832
2412,TET3,Protein,TGF-beta 1,Receptor ligand,Activation,Transcription regulation,x,TET3 co-activates transcription of TGF-beta 1.,32023451
2413,hASH1,Transcription factor,HYEP,Generic enzyme,Activation,Transcription regulation,x,hASH1 activates transcription of HYEP.,21536733;34466783
2414,GCR,Transcription factor,STK4,Protein kinase,Activation,Transcription regulation,x,GCR activates transcription of STK4.,26374485
2415,PREX1,"Regulators (GDI, GAP, GEF)",Rictor,Generic binding protein,Activation,Binding,x,PREX1 binds to and activates Rictor.,17565979;21339740
2416,SMAD2,Transcription factor,VEGF-C,Receptor ligand,Activation,Transcription regulation,x,SMAD2 activates transcription of VEGF-C.,25142796
2417,PPAR-beta(delta),Transcription factor,APOA2,Receptor ligand,Activation,Transcription regulation,x,PPARdelta increases the expression of the human apoA-II gene in liver cells via a PPRE in the proximal promoter.,18506377;34728628
2418,STAT1,Transcription factor,TGF-beta 1,Receptor ligand,Activation,Transcription regulation,x,STAT1 binds to promoter region of TGF-beta 1 and induces TGF-beta 1 expression.,22180355;23486482;30454647;30832557;37237244
2419,STAT3,Transcription factor,ABCG1,Generic channel,Activation,Transcription regulation,x,STAT3 activates transcription of ABCG1.,22328012;25035925;25436422;33262462;39424784
2420,C/EBP zeta,Transcription factor,NBR1,Generic binding protein,Activation,Transcription regulation,x,C/EBP zeta activates transcription of NBR1.,23804767
2421,HDAC2,Generic enzyme,Fra-1,Transcription factor,Activation,Transcription regulation,x,HDAC2 co-activates transcription of Fra-1.,23542037;24234443
2422,GCR,Transcription factor,IRAKM,Protein kinase,Activation,Transcription regulation,x,GCR activates transcription of IRAKM.,25585690;26280733;31182584;32619221;36527388
2423,LRSAM1,Generic enzyme,Ferroportin 1,Transporter,Inhibition,Binding,x,LRSAM1 binds to and inhibits Ferroportin 1.,39039049
2424,p53,Transcription factor,IRF2BP2,Generic binding protein,Activation,Transcription regulation,x,p53 can bind in vivo and in vitro to a p53 consensus-binding site upstream of the transcriptional start site of the IRF2BP2 gene and that p53 can transactivate its transcription.,19042971;22127205;24289924;25415302;31940490
2425,Nucleophosmin,Generic binding protein,PES1,Generic binding protein,Activation,Binding,x,B23 physically interacts with PES1 and is involved in the nucleolar localization of PES1.,20011973;25288641;33039556;35271311
2426,TCF7L2 (TCF4),Transcription factor,ARMCX3,Generic binding protein,Activation,Transcription regulation,x,TCF7L2 (TCF4) activates transcription of ARMCX3.,21152096
2427,Itch,Generic enzyme,UBC,Generic binding protein,Activation,Binding,x,Itch binds to and activates UBC.,17013377;19341794;19343052;19808964;20504295;20639865;20818436;20972266;21139048;21890473;21906983;21963094;21987572;22053931;22496338;22505724;23000965;23564455;23644597;24101513;25147182;31015455
2428,BNaC2 (ASIC1a),Ligand-gated ion channel,NSF,Generic binding protein,Activation,Binding,x,BNaC2 (ASIC1a) binds to and activates NSF.,31980622
2429,STAT1,Transcription factor,CD200 (OX-2),Generic binding protein,Activation,Transcription regulation,x,STAT1 probably regulates transcription of OX-2 in human B-cell lymphoma.,18277385;19386363
2430,VDR,Transcription factor,Clmn,Generic binding protein,Activation,Transcription regulation,x,Clmn is an in vivo VDR transcriptional target.,16002434;20070897;23401126;24726990
2431,Par-4,Generic binding protein,GRP78,Generic binding protein,Activation,Binding,x,Par-4 activates an extrinsic pathway involving cell surface GRP78 receptor for induction of apoptosis.,19632185;26246468
2432,KDM2B,Generic enzyme,NQO1,Generic enzyme,Activation,Transcription regulation,x,"ChIP assays ocusing on the binding of Ndy1 to the promoter region of two of the genes, Nqo1and Prdx4.",18838535
2433,VDR,Transcription factor,NF-kB1 (p105),Transcription factor,Inhibition,Binding,x,VDR binds to and inhibits NF-kB1 (p105).,19500727;21420936;22531461;26269414;27856242
2434,E4F1,Transcription factor,Rad52,Generic binding protein,Activation,Transcription regulation,x,E4F1 activates transcription of Rad52.,25843721;36012478
2435,UBE2E2,Generic enzyme,WWP2,Generic enzyme,Activation,Binding,x,UBE2E2 interacts with WWP2 and facilitates the ubiquitination of WWP2.,22496338;32296183
2436,Sirtuin6,Generic enzyme,TGF-beta 1,Receptor ligand,Inhibition,Transcription regulation,x,Sirtuin6 co-inhibits transcription of TGF-beta 1.,31744885
2437,Glis2,Transcription factor,WNT4,Receptor ligand,Inhibition,Transcription regulation,x,"Glis2 opposes Gli1 activity by binding cis-acting regulatory sequences in the 5' flanking regions of Snai1 and Wnt4, thereby inhibiting de-differentiation of tubular cells.",21816948
2438,FGFR2,Receptor with enzyme activity,G-protein alpha-i3,G-alpha,Activation,Binding,x,FGFR2 binds to and activates G-protein alpha-i3.,25078664
2439,Menin,Transcription factor,CDK5R1 (p35),Generic binding protein,Activation,Transcription regulation,x,Menin co-activates transcription of CDK5R1 (p35).,30021166
2440,Neurabin-1,Generic binding protein,PP1-cat gamma,Protein phosphatase,Inhibition,Binding,x,Neurabin-1 physically interacts with  PP1-cat  gamma and decreases its activity.,12016225;20231380;26186194;28514442
2441,RARgamma,Transcription factor,NOTCH4 receptor,Generic receptor,Activation,Transcription regulation,x,Notch4 is a ATRA-responsive gene. RXR-alpha-RAR-gamma occupied the putative RARE of Notch4.,21988834
2442,EGR3,Transcription factor,Reelin,Generic protease,Activation,Transcription regulation,x,EGR3 activates transcription of Reelin.,33113163
2443,CTCF,Transcription factor,TGF-beta 1,Receptor ligand,Activation,Transcription regulation,x,CTCF activates transcription of TGF-beta 1.,18555785;19796622;27466323;31519520;32451376;32807777;32857768;35977522
2444,XBP1,Transcription factor,UFM1,Generic binding protein,Activation,Transcription regulation,x,XBP1 activates transcription of UFM1.,23152784
2445,14-3-3 epsilon,Generic binding protein,N-type Ca(II) channel alpha1B,Voltage-gated ion channel,Inhibition,Binding,x,14-3-3 epsilon physically interacts with  N-type Ca(II) channel alpha1B and decreases its activity.,16982421
2446,GCR,Transcription factor,MSK1,Protein kinase,Inhibition,Binding,x,GC-initiated translocation of MSK1 from nucleus to cytoplasm is GR-dependent. MSK1 activated by upstream kinases MKK6 and p38 physicallyinteracts with GRalpha.,18511904
2447,C/EBPbeta,Transcription factor,Bim,Generic binding protein,Activation,Transcription regulation,x,C/EBPbeta activates transcription of Bim.,39060225
2448,FKHR,Transcription factor,Carboxypeptidase H,Generic protease,Inhibition,Transcription regulation,x,FKHR binds to carboxipeptidase H and inhibits its expression.,19767734
2449,TRAF3,Generic binding protein,TR4,Transcription factor,Activation,Binding,x,TRAF3 binds to and activates TR4.,33414375
2450,TCF7L2 (TCF4),Transcription factor,CFTR,Generic channel,Activation,Transcription regulation,x,TCF7L2 (TCF4) binds to gene CFTR promoter and activates CFTR expression.,17848139;33807548
2451,RelA (p65 NF-kB subunit),Transcription factor,PGM2L1,Generic enzyme,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of PGM2L1.,28579529
2452,HIC1,Transcription factor,VLDLR,Generic receptor,Inhibition,Transcription regulation,x,HIC1 inhibits transcription of VLDLR.,24076391
2453,EPAS1,Transcription factor,DDT,Generic enzyme,Activation,Transcription regulation,x,EPAS1 activates transcription of DDT.,24356968
2454,CREM (activators),Transcription factor,ETV3,Transcription factor,Activation,Transcription regulation,x,CREM (activators) can bind to gene ETV3 promoter and activates ETV3 expression.,14754893
2455,KLF6,Transcription factor,Keratin 12,Generic binding protein,Activation,Transcription regulation,x,KLF6 activates transcription of Keratin 12 .,11951085;12407152
2456,SMAD4,Transcription factor,TSLC1,Generic binding protein,Inhibition,Transcription regulation,x,SMAD4 inhibits transcription of TSLC1.,23741316
2457,c-Myb,Transcription factor,KLF6,Transcription factor,Inhibition,Transcription regulation,x,C-Myb can bind to gene KLF6 promoter.,16054710;21317192
2458,RelA (p65 NF-kB subunit),Transcription factor,MTMR7,Protein phosphatase,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of MTMR7.,28579529
2459,ROR-beta,Transcription factor,HBP1,Transcription factor,Activation,Transcription regulation,x,ROR-beta activates transcription of HBP1.,28137278
2460,p53,Transcription factor,OTC,Generic enzyme,Inhibition,Transcription regulation,x,p53 inhibits transcription of OTC.,30842655
2461,PPAR-beta(delta),Transcription factor,Sirtuin1,Generic enzyme,Activation,Transcription regulation,x,"PPARdelta markedly increased the 5' -promoter activity of SIRT1 gene, which was further amplified by the addition of GW501516, a selective PPARdelta agonist.",20160399;23105114;25275593;27486236
2462,SMARCA5,Transcription factor,DDX5,Generic enzyme,Activation,Binding,x,SMARCA5 binds to and activates DDX5.,38776924
2463,CCKBR,GPCR,SHP-2,Protein phosphatase,Activation,Binding,x,CCKBR physically interacts with SHP-2 and increases its activity.,16963136
2464,Cyclin D1,Generic binding protein,RUNX3,Transcription factor,Inhibition,Binding,x,Cyclin D1 interacts directly with Runx3.,19351720;20801098;24229708
2465,Androgen receptor,Transcription factor,EGR1,Transcription factor,Inhibition,Transcription regulation,x,Androgen receptor decreases EGR1 mRNA expression.,8584037;16195407;21681193;26715186;27003515
2466,FUS,Generic binding protein,POLR3A,Generic enzyme,Inhibition,Binding,x,TLS (FUS) interacts with RPC155 and TBP and represses transcription by RNAP III.,19841068
2467,RhoA,RAS - superfamily,PKC-epsilon,Protein kinase,Activation,Binding,x,RhoA coimmunoprecipitates with PKC-epsilon upon thrombin treatment.,12665468
2468,c-Fos,Transcription factor,STAT3,Transcription factor,Activation,Binding,x,C-Fos physically interacts with STAT3 and increases its activity.,11356008;15950906;22586032;30910960
2469,TCF7L2 (TCF4),Transcription factor,PTCH1,Generic receptor,Activation,Transcription regulation,x,TCF7L2 (TCF4) activates transcription of PTCH1.,23260145
2470,FosB,Transcription factor,Fra-1,Transcription factor,Activation,Transcription regulation,x,FosB binds to the gene Fra-1 promoter and upregulates its expression.,22065583
2471,RelA (p65 NF-kB subunit),Transcription factor,N-cadherin,Generic binding protein,Activation,Transcription regulation,x,Putative RelA (p65 NF-kB subunit) binding site is found in gene CDH2 promoter. Upregulation of N-cadherin promoter activity was seen in cells with NFkB overexpression.,16132038;18682805;21887310;23483258;25487615;26154142;28000883;28098875;28107418;28832500;29845254;29885520;31100307;31987921;32127518;35283197;36208716;39317702
2472,TNRC6A,Generic binding protein,GluR1,Ligand-gated ion channel,Inhibition,Binding,x,TNRC6A binds to and inhibits GluR1.,22385959
2473,SOX2,Transcription factor,BIKe,Protein kinase,Activation,Transcription regulation,x,SOX2 activates transcription of BIKe.,33915080;38951654
2474,Sortilin,GPCR,TrkB,Receptor with enzyme activity,Activation,Binding,x,"the sorting receptor sortilin interacts with TrkA, TrkB and TrkC and enables their anterograde axonal transport, thereby enhancing neurotrophin signaling.",21102451;24355921;25037567;27120782
2475,GCR,Transcription factor,NAV3,Generic binding protein,Inhibition,Transcription regulation,x,Chromatin immunoprecipitation confirmed GR occupancy near the repressed Brm-dependent NAV3 gene.,21646426;32619221
2476,hASH1,Transcription factor,Carboxypeptidase H,Generic protease,Activation,Transcription regulation,x,hASH1 activates transcription of Carboxypeptidase H.,34466783
2477,KLF4,Transcription factor,ARPC5,Generic binding protein,Inhibition,Transcription regulation,x,KLF4 inhibits transcription of ARPC5.,29580988;33640491;33915080
2478,PPAR-beta(delta),Transcription factor,ABCA1,Ligand-gated ion channel,Activation,Transcription regulation,x,PPAR-beta(delta) knock down induces ABCA1 expression.,11309497;15604518;16825673;17110604;19439761;19948841;23247028;24958459
2479,TSC-22,Transcription factor,SMAD7,Transcription factor,Inhibition,Binding,x,"TSC-22 interacts with the TGF-beta type I receptor TbetaRI and Smad7 in a mutually exclusive way, disrupts the association of Smad7/Smurfs with TbetaRI and thereby prevents ubiquitination and degradation of the receptor.",21791611
2480,ACTB,Generic binding protein,NCOA1 (SRC1),Generic enzyme,Activation,Transcription regulation,x,"Actin-beta binds to gene NCOA1 promoter, probably  through interaction with RNAP II,  and upregulates its activity in HL-60 cells.",20053683
2481,PP2A cat (alpha),Protein phosphatase,SMAD2,Transcription factor,Activation,Binding,x,PP2A cat (alpha) binds to and activates SMAD2.,21151953;30593560
2482,GPS2,"Regulators (GDI, GAP, GEF)",EKLF1,Transcription factor,Activation,Binding,x,GPS2 binds to and activates EKLF1.,32384137
2483,E4F1,Transcription factor,NDUFS5,Generic enzyme,Activation,Transcription regulation,x,E4F1 activates transcription of NDUFS5.,25843721
2484,E4BP4,Transcription factor,Bcl-G,Generic binding protein,Inhibition,Transcription regulation,x,E4BP4 can bind to gene Bcl-G promoter and suppress Bcl-G expression.,17057225
2485,N-CoR,Generic binding protein,PPAR-gamma,Transcription factor,Inhibition,Transcription regulation,x,N-CoR is a co-inhibitor of PPAR-gamma expression and co-repressor of PPAR-gamma as transcription factors,9106656;11043571;11696534;11877444;11903058;15604093;15681609;15691842;16127449;16314690;16508139;17468099;17475497;19307559;19596656;20587609;20814433;21700709;22078880;23627357;23703729;24451380;30409975;31604693;32075969
2486,RXRA,Transcription factor,HYEP,Generic enzyme,Activation,Transcription regulation,x,RXRA activates transcription of HYEP.,23714182;36347014
2487,CAS-L,Generic binding protein,SMAD7,Transcription factor,Inhibition,Binding,x,"Smad7 ainteracts with STRAP (serine/threonine kinase receptor-associated protein), SIK (salt-inducible kinase), AIP4 (atrophin 1-interacting protein 4) , YAP65 (Yes-associated protein 65), Cas-L (Crk-associated substrate lymphocyte type)and Hic5 (H2O2-inducible clone 5).",16909115;17908996;21269274
2488,Inversin,Generic binding protein,CAS-L,Generic binding protein,Inhibition,Binding,x,Inversin binds to and inhibits CAS-L.,24026243
2489,JMJD3,Generic enzyme,Sirtuin1,Generic enzyme,Activation,Transcription regulation,x,JMJD3 co-activates transcription of Sirtuin1.,29911994
2490,HOXA2,Transcription factor,MEIS2,Transcription factor,Activation,Transcription regulation,x,Putative HOXA2 transcription factor-binding site is found in promoter region of MEIS2.,22223247;25640223
2491,FosB,Transcription factor,c-Fos,Transcription factor,Inhibition,Transcription regulation,x,FosB inhibits transcription of c-Fos.,18632938;23395854
2492,EGR1,Transcription factor,F263,Generic enzyme,Activation,Transcription regulation,x,EGR1 activates transcription of F263.,10673355;21464136;35418167
2493,ATF-4,Transcription factor,Prickle-1,Generic binding protein,Activation,Transcription regulation,x,ATF-4 activates transcription of Prickle-1.,23176727
2494,14-3-3 epsilon,Generic binding protein,ARHGEF2,"Regulators (GDI, GAP, GEF)",Inhibition,Binding,x,14-3-3 epsilon interacts with ARHGEF2 .,14970201;35271311;35417684
2495,NUMA1,Generic binding protein,LGN,Generic binding protein,Activation,Binding,x,NUMA1 physically interacts with LGN and increases its activity.,11781568;15537540;20137953;24109598;31732560
2496,RAD9A,Generic binding protein,NDRG1,Generic binding protein,Activation,Transcription regulation,x,RAD9A co-activates transcription of NDRG1.,34298089
2497,MafF,Transcription factor,ATF-3,Transcription factor,Activation,Binding,x,MafF binds to and activates ATF-3.,23661758;38762597
2498,STAT1,Transcription factor,S1P1 receptor,GPCR,Activation,Transcription regulation,x,STAT1 activates transcription of S1P1 receptor.,32006593
2499,MLL2,Generic enzyme,TRAF3,Generic binding protein,Activation,Transcription regulation,x,MLL2 co-activates transcription of TRAF3.,26366710
2500,Ikaros,Transcription factor,p53 (mitochondrial),Transcription factor,Inhibition,Transcription regulation,x,Ikaros inhibits transcription of p53 (mitochondrial).,26684585;33770102
2501,FOXK1,Transcription factor,Sin3A,Generic binding protein,Activation,Binding,x,FOXK1 binds to and activates Sin3A.,25073741;32783940;39094826
2502,p53,Transcription factor,CYP51A1,Generic enzyme,Activation,Transcription regulation,x,p53 possible binds to gene CYP51A1 promoter.,18474530;22265415
2503,G9a,Generic enzyme,PARD3,Generic binding protein,Inhibition,Transcription regulation,x,G9a co-inhibits transcription of PARD3.,25789554
2504,14-3-3 zeta/delta,Generic binding protein,PI3K reg class IA (p85-alpha),Generic binding protein,Activation,Binding,x,14-3-3z physically interacts with PI3K p85  and recruits PI3K to the cell membrane where PI3K became activated.,21743495;35271311
2505,Oct-1,Transcription factor,GADD45 gamma,Generic binding protein,Activation,Transcription regulation,x,Oct-1 can bind to gene GADD45 gamma promoter and activates GADD45 gamma expression.,17724474;37071732
2506,STAT3,Transcription factor,SENP2,Generic protease,Activation,Transcription regulation,x,STAT3 activates transcription of SENP2.,30902749
2507,Neogenin,Generic receptor,DAPK1,Protein kinase,Activation,Binding,x,Neogenin interacts with death-associated protein kinase (DAPK) in rat cerebellar granule neurons.,18583991
2508,BOAT,Generic binding protein,RBP-J kappa (CBF1),Transcription factor,Inhibition,Binding,x,BOAT1 and ATXN1 bind to CBF1 inhibit Notch activity in mammalian cells.,21475249
2509,hASH1,Transcription factor,DARPP-32,Generic binding protein,Activation,Transcription regulation,x,hASH1 activates transcription of DARPP-32.,32499571;34466783
2510,Pyk2(FAK2),Protein kinase,RhoA,RAS - superfamily,Inhibition,Binding,x,"Several studies have shown that FAK or v-Src can suppress the activities of Rho and its effector, ROCK, and this pathway requires ERK signaling to modulate actin and focal adhesion dynamics.",11278472;17553668;18277385
2511,KLF5,Transcription factor,TCF7L2 (TCF4),Transcription factor,Activation,Binding,x,KLF5 binds to and activates TCF7L2 (TCF4).,25683913
2512,KEAP1,Generic binding protein,NFE2L1,Transcription factor,Activation,Binding,x,KEAP1 physically interacts with  NFE2L1.,16687406;21262351;21911472;21988832;24322982;29255090
2513,Ifi202a,Generic binding protein,C/EBPalpha,Transcription factor,Activation,Binding,x,Ifi202a binds to and activates C/EBPalpha.,24246779
2514,CDK7,Protein kinase,GRP78,Generic binding protein,Activation,Binding,x,CDK7 binds to and activates GRP78.,36042349
2515,SMAD1,Transcription factor,JMJD3,Generic enzyme,Inhibition,Transcription regulation,x,SMAD1/5 bind to Kdm6b promoter and downregulates its expression downstream of BMP4.,19926752;24106268;33230299
2516,EPAS1,Transcription factor,SOX2,Transcription factor,Activation,Transcription regulation,x,EPAS1 activates transcription of SOX2.,19897487;22753248;25271810;26923292;27765951;33142235;33762574;34461182
