List Report,,,,,,,,,,,
MetaCore Data,,,,,,,,CDDI Data,,,
#,Input IDs,Network Object Name,Gene Symbol,Unit (protein or chem),Object Type,Description,Therapeutic Drugs,CDDI Biomarker,CDDI Biomarker Role,CDDI Biomarker Type,CDDI Genes & Targets
2783,,LMLN,Lmln,LMLN_MOUSE,Metalloprotease,Leishmanolysin-like peptidase,,,,,
2784,,LMO2,Lmo2,RBTN2_MOUSE,Transcription factor,Rhombotin-2,,,,,
2785,,LNEBL,Nebl,LNEBL_MOUSE,Generic binding protein,LIM zinc-binding domain-containing Nebulette,,,,,
2786,,LOC102633679,A230006K03Rik,LOC102633679,Protein,"adenylate cyclase, terminal-differentiation specific-like",,,,,
2787,,LOC147670,Smim17,Gm16532,Protein,"predicted gene, 16532",,,,,
2788,,LOC213332,Mfsd4b4,LOC213332,Protein,similar to Na+ dependent glucose transporter 1,,,,,
2789,,LOC240038,Zfp994,LOC240038,Generic binding protein,similar to reduced expression 2,,,,,
2790,,LOC245174,Zfp937,LOC245174,Generic binding protein,hypothetical protein LOC245174,,,,,
2791,,LOC320550,5930405F01Rik,5930405F01Rik,Protein,RIKEN cDNA 5930405F01 gene,,,,,
2792,,LOC606495,Cyb5rl,NB5R5_MOUSE,Generic enzyme,NADH-cytochrome b5 reductase-like,,,,,
2793,,LOC627872,Dnah7a,LOC627872,Generic enzyme,similar to axonemal dynein heavy chain 7,,,,,
2794,,LOC681241,4921504E06Rik,4921504E06Rik,Protein,RIKEN cDNA 4921504E06 gene,,,,,
2795,,LOC688786,Pet100,PT100_MOUSE,Generic binding protein,"Protein PET100 homolog, mitochondrial",,,,,
2796,,LOC691170,2610008E11Rik,2610008E11Rik,Generic binding protein,RIKEN cDNA 2610008E11 gene,,,,,
2797,,LOC730130,Tmem229a,T229A_MOUSE,Transcription factor,Transmembrane protein 229A,,,,,
2798,,LOH12CR1,Borcs5,BORC5_MOUSE,Protein,BLOC-1-related complex subunit 5,,,,,
2799,,LONP,Lonp1,LONM_MOUSE,Generic protease,"Lon protease homolog, mitochondrial",,,,,
2800,,LONRF1,Lonrf1,LONF1_MOUSE,Generic protease,LON peptidase N-terminal domain and RING finger protein 1,,,,,
2801,,LONRF2,Lonrf2,Lonrf2,Generic protease,LON peptidase N-terminal domain and ring finger 2,,,,,
2802,,LONRF3,Lonrf3,LONF3_MOUSE,Generic protease,LON peptidase N-terminal domain and RING finger protein 3,,,,,
2803,,LOXE3,Aloxe3,LOXE3_MOUSE,Generic enzyme,Hydroperoxide isomerase ALOXE3,,,,,
2804,,LPAR1,Lpar1,LPAR1_MOUSE,GPCR,Lysophosphatidic acid receptor 1,,,,,
2805,,LPAR2,Lpar2,LPAR2_MOUSE,GPCR,Lysophosphatidic acid receptor 2,,,,,
2806,,LPCAT1,Lpcat1,PCAT1_MOUSE,Generic enzyme,Lysophosphatidylcholine acyltransferase 1,,,,,
2807,,LPGAT1,Lpgat1,LGAT1_MOUSE,Generic enzyme,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,,,,,
2808,,LPIN2,Lpin2,LPIN2_MOUSE,Generic phosphatase,Phosphatidate phosphatase LPIN2,,,,,
2809,,LPP2,Plpp2,PLPP2_MOUSE,Generic phosphatase,Phospholipid phosphatase 2,,,,,
2810,,LPP3,Plpp3,PLPP3_MOUSE,Protein phosphatase,Phospholipid phosphatase 3,,,,,
2811,,LPPR3 (PRG2),Plppr3,PLPR3_MOUSE,Protein,Phospholipid phosphatase-related protein type 3,,,,,
2812,,LRCH2,Lrch2,LRCH2_MOUSE,Generic binding protein,Leucine-rich repeat and calponin homology domain-containing protein 2,,,,,
2813,,LRCH3,Lrch3,LRCH3_MOUSE,Generic binding protein,DISP complex protein LRCH3,,,,,
2814,,LRCH4,Lrch4,LRCH4_MOUSE,Generic binding protein,Leucine-rich repeat and calponin homology domain-containing protein 4,,,,,
2815,,LRFN1,Lrfn1,LRFN1_MOUSE,Generic binding protein,Leucine-rich repeat and fibronectin type III domain-containing protein 1,,,,,
2816,,LRP1,Lrp1,LRP1_MOUSE,Generic receptor,Prolow-density lipoprotein receptor-related protein 1,,,,,
2817,,LRP1 (ICD),Lrp1,LRPICD_(MOUSE),Generic binding protein,Low-density lipoprotein receptor-related protein 1 intracellular domain,,,,,
2818,,LRP12,Lrp12,LRP12_MOUSE,Generic receptor,Low-density lipoprotein receptor-related protein 12,,,,,
2819,,LRP16,Macrod1,MACD1_MOUSE,Generic binding protein,ADP-ribose glycohydrolase MACROD1,,,,,
2820,,LRP1B,Lrp1b,LRP1B_MOUSE,Generic receptor,Low-density lipoprotein receptor-related protein 1B,,,,,
2821,,LRP1B (CTF),Lrp1b,LRP1B (CTF)_MOUSE,Generic binding protein,LRP1B C-terminal fragment,,,,,
2822,,LRP1B (ICD),Lrp1b,LRP1B (ICD)_MOUSE,Generic binding protein,LRP1B intracellular domain,,,,,
2823,,LRP3,Lrp3,Lrp3,Generic receptor,low density lipoprotein receptor-related protein 3,,,,,
2824,,LRP4,Lrp4,LRP4_MOUSE,Generic receptor,Low-density lipoprotein receptor-related protein 4,,,,,
2825,,LRRC20,Lrrc20,LRC20_MOUSE,Generic binding protein,Leucine-rich repeat-containing protein 20,,,,,
2826,,LRRC26,Lrrc26,LRC26_MOUSE,Generic binding protein,Leucine-rich repeat-containing protein 26,,,,,
2827,,LRRC28,Lrrc28,LRC28_MOUSE,Generic binding protein,Leucine-rich repeat-containing protein 28,,,,,
2828,,LRRC3B,Lrrc3b,LRC3B_MOUSE,Generic binding protein,Leucine-rich repeat-containing protein 3B,,,,,
2829,,LRRC40,Lrrc40,LRC40_MOUSE,Generic binding protein,Leucine-rich repeat-containing protein 40,,,,,
2830,,LRRC61,Lrrc61,LRC61_MOUSE,Generic binding protein,Leucine-rich repeat-containing protein 61,,,,,
2831,,LRRC8D,Lrrc8d,LRC8D_MOUSE,Generic binding protein,Volume-regulated anion channel subunit LRRC8D,,,,,
2832,,LRRCC1,Lrrcc1,LRCC1_MOUSE,Generic binding protein,Leucine-rich repeat and coiled-coil domain-containing protein 1,,,,,
2833,,LRRFIP2,Lrrfip2,LRRF2_MOUSE,Generic binding protein,Leucine-rich repeat flightless-interacting protein 2,,,,,
2834,,LRRK2,Lrrk2,LRRK2_MOUSE,Protein kinase,Leucine-rich repeat serine/threonine-protein kinase 2,,,,,
2835,,LRRN1,Lrrn1,LRRN1_MOUSE,Generic binding protein,Leucine-rich repeat neuronal protein 1,,,,,
2836,,LRRN2,Lrrn2,Lrrn2,Generic receptor,"leucine rich repeat protein 2, neuronal",,,,,
2837,,LRRN3,Lrrn3,LRRN3_MOUSE,Generic binding protein,Leucine-rich repeat neuronal protein 3,,,,,
2838,,LRRTM2,Lrrtm2,LRRT2_MOUSE,Generic binding protein,Leucine-rich repeat transmembrane neuronal protein 2,,,,,
2839,,LRRTM3,Lrrtm3,LRRT3_MOUSE,Generic binding protein,Leucine-rich repeat transmembrane neuronal protein 3,,,,,
2840,,LRSAM1,Lrsam1,LRSM1_MOUSE,Generic enzyme,E3 ubiquitin-protein ligase LRSAM1,,,,,
2841,,LRWD1,Lrwd1,LRWD1_MOUSE,Generic binding protein,Leucine-rich repeat and WD repeat-containing protein 1,,,,,
2842,,LSAMP,Lsamp,LSAMP_MOUSE,Generic binding protein,Limbic system-associated membrane protein,,,,,
2843,,LSG1,Lsg1,LSG1_MOUSE,Generic binding protein,Large subunit GTPase 1 homolog,,,,,
2844,,LSM1,Lsm1,LSM1_MOUSE,Generic binding protein,U6 snRNA-associated Sm-like protein LSm1,,,,,
2845,,LSM10,Lsm10,LSM10_MOUSE,Generic binding protein,U7 snRNA-associated Sm-like protein LSm10,,,,,
2846,,LSM11,Lsm11,LSM11_MOUSE,Generic binding protein,U7 snRNA-associated Sm-like protein LSm11,,,,,
2847,,LSM12,Lsm12,LSM12_MOUSE,Generic binding protein,Protein LSM12,,,,,
2848,,LSM14A,Lsm14a,LS14A_MOUSE,Protein,Protein LSM14 homolog A,,,,,
2849,,LSM3,Lsm3,LSM3_MOUSE,Generic binding protein,U6 snRNA-associated Sm-like protein LSm3,,,,,
2850,,LSM6,Lsm6,LSM6_MOUSE,Generic binding protein,U6 snRNA-associated Sm-like protein LSm6,,,,,
2851,,LSS,Lss,LSS_MOUSE,Generic enzyme,Lanosterol synthase,,,,,
2852,,LSm7,Lsm7,LSM7_MOUSE,Generic binding protein,U6 snRNA-associated Sm-like protein LSm7,,,,,
2853,,LTA4H,Lta4h,LKHA4_MOUSE,Generic enzyme,Leukotriene A-4 hydrolase,DG-051,,,,
2854,,LTBP2,Ltbp2,LTBP2_MOUSE,Generic binding protein,Latent-transforming growth factor beta-binding protein 2,,,,,
2855,,LTV1,Ltv1,LTV1_MOUSE,Protein,Protein LTV1 homolog,,,,,
2856,,LUC7A,Luc7l3,LC7L3_MOUSE,Generic binding protein,Luc7-like protein 3,,,,,
2857,,LUC7B1,Luc7l,LUC7L_MOUSE,Generic binding protein,Putative RNA-binding protein Luc7-like 1,,,,,
2858,,LULL1,Tor1aip2,TOIP2_MOUSE,Generic binding protein,Torsin-1A-interacting protein 2,,,,,
2859,,LUZP1,Luzp1,LUZP1_MOUSE,Protein,Leucine zipper protein 1,,,,,
2860,,LXR-beta,Nr1h2,NR1H2_MOUSE,Transcription factor,Oxysterols receptor LXR-beta,,,,,
2861,,LYAR,Lyar,LYAR_MOUSE,Transcription factor,Cell growth-regulating nucleolar protein,,,,,
2862,,LYPD1,Lypd1,LYPD1_MOUSE,Generic binding protein,Ly6/PLAUR domain-containing protein 1,,,,,
2863,,LYPD6B,Lypd6b,LPD6B_MOUSE,Protein,Ly6/PLAUR domain-containing protein 6B,,,,,
2864,,LYPLAL1,Lyplal1,LYPL1_MOUSE,Generic enzyme,Lysophospholipase-like protein 1,,,,,
2865,,LYRM1,Lyrm1,LYRM1_MOUSE,Protein,LYR motif-containing protein 1,,,,,
2866,,LYRM2,Lyrm2,LYRM2_MOUSE,Protein,LYR motif-containing protein 2,,,,,
2867,,LYRM4,Lyrm4,LYRM4_MOUSE,Protein,LYR motif-containing protein 4,,,,,
2868,,LYST,Lyst,LYST_MOUSE,Generic binding protein,Lysosomal-trafficking regulator,,,,,
2869,,LYZL1,Lyzl1,LYZL1_MOUSE,Generic enzyme,Lysozyme-like protein 1,,,,,
2870,,LYZL4,Lyzl4,LYZL4_MOUSE,Generic enzyme,Lysozyme-like protein 4,,,,,
2871,,LZTS1,Lzts1,LZTS1_MOUSE,Transcription factor,Leucine zipper putative tumor suppressor 1,,,,,
2872,,Laeverin,Lvrn,AMPQ_MOUSE,Metalloprotease,Aminopeptidase Q,,,,,
2873,,Laforin,Epm2a,EPM2A_MOUSE,Protein phosphatase,Laforin,,,,,
2874,,Lambda crystallin,Cryl1,CRYL1_MOUSE,Generic enzyme,Lambda-crystallin homolog,,,,,
2875,,Lamin A/C,Lmna,LMNA_MOUSE,Generic binding protein,Prelamin-A/C,,,,,
2876,,Lancl3,Lancl3,LANC3_MOUSE,Generic enzyme,LanC-like protein 3,,,,,
2877,,LargeNN,Nts,LargeNN_(MOUSE),Receptor ligand,Large neuromedin N,,,,,
2878,,LargeNT,Nts,LargeNT_(MOUSE),Receptor ligand,Large neurotensin,,,,,
2879,,Lba1,Trank1,TRNK1_MOUSE,Generic binding protein,TPR and ankyrin repeat-containing protein 1,,,,,
2880,,LeuRS,Lars2,SYLM_MOUSE,Generic enzyme,"Probable leucine--tRNA ligase, mitochondrial",,,,,
2881,,Limkain b1,Marf1,MARF1_MOUSE,Generic binding protein,Meiosis regulator and mRNA stability factor 1,,,,,
2882,,Lingo1,Lingo1,LIGO1_MOUSE,Generic binding protein,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,,,,,
2883,,Liprin-alpha3,Ppfia3,LIPA3_MOUSE,Generic binding protein,Liprin-alpha-3,,,,,
2884,,Liprin-beta 2,Ppfibp2,LIPB2_MOUSE,Generic binding protein,Liprin-beta-2,,,,,
2885,,Lrrfip1 (mouse),Lrrfip1,LRRF1_MOUSE,Generic binding protein,Leucine-rich repeat flightless-interacting protein 1,,,,,
2886,,Lysmd3,Lysmd3,LYSM3_MOUSE,Protein,LysM and putative peptidoglycan-binding domain-containing protein 3,,,,,
2887,,M18BP1,Mis18bp1,M18BP_MOUSE,Generic binding protein,Mis18-binding protein 1,,,,,
2888,,M33,Cbx2,CBX2_MOUSE,Generic binding protein,Chromobox protein homolog 2,,,,,
2889,,M9,Eif3k,EIF3K_MOUSE,Generic binding protein,Eukaryotic translation initiation factor 3 subunit K,,,,,
2890,,MA1A1,Man1a,MA1A1_MOUSE,Generic enzyme,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",,,,,
2891,,MA1C1,Man1c1,Man1c1,Generic enzyme,"mannosidase, alpha, class 1C, member 1",,,,,
2892,,MA2A2,Man2a2,MA2A2_MOUSE,Generic enzyme,Alpha-mannosidase 2x,,,,,
2893,,MACF1,Macf1,MACF1_MOUSE,Generic binding protein,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4",,,,,
2894,,MAD2b,Mad2l2,MD2L2_MOUSE,Generic binding protein,Mitotic spindle assembly checkpoint protein MAD2B,,,,,
2895,,MAD3,Mxd3,MAD3_MOUSE,Transcription factor,Max dimerization protein 3,,,,,
2896,,MAD4,Mxd4,MAD4_MOUSE,Transcription factor,Max dimerization protein 4,,,,,
2897,,MADD,Madd,MADD_MOUSE,"Regulators (GDI, GAP, GEF)",MAP kinase-activating death domain protein,,,,,
2898,,MAF1,Maf1,MAF1_MOUSE,Generic binding protein,Repressor of RNA polymerase III transcription MAF1 homolog,,,,,
2899,,MAFbx,Fbxo32,FBX32_MOUSE,Generic enzyme,F-box only protein 32,,,,,
2900,,MAG,Mag,MAG_MOUSE,Generic receptor,Myelin-associated glycoprotein,,,,,
2901,,MAGEF1,Magef1,Magef1,Protein,"melanoma antigen family F, 1",,,,,
2902,,MAGEL2,Magel2,MAGL2_MOUSE,Generic binding protein,MAGE-like protein 2,,,,,
2903,,MAGI-3,Magi3,MAGI3_MOUSE,Generic kinase,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3",,,,,
2904,,MAGMAS,Pam16,TIM16_MOUSE,Generic channel,Mitochondrial import inner membrane translocase subunit TIM16,,,,,
2905,,MAL,Mal,MAL_MOUSE,Transporter,Myelin and lymphocyte protein,,,,,
2906,,MALS-2,Lin7b,LIN7B_MOUSE,Generic binding protein,Protein lin-7 homolog B,,,,,
2907,,MALS-3,Lin7c,LIN7C_MOUSE,Generic binding protein,Protein lin-7 homolog C,,,,,
2908,,MAML2,Maml2,Maml2,Generic binding protein,mastermind like 2 (Drosophila),,,,,
2909,,MAMLD1,Mamld1,MAMD1_MOUSE,Protein,Mastermind-like domain-containing protein 1,,,,,
2910,,MAN1,Lemd3,MAN1_MOUSE,Generic binding protein,Inner nuclear membrane protein Man1,,,,,
2911,,MANA,Mpi,MPI_MOUSE,Generic enzyme,Mannose-6-phosphate isomerase,,,,,
2912,,MANBAL,Manbal,MANBL_MOUSE,Protein,Protein MANBAL,,,,,
2913,,MANEA,Manea,MANEA_MOUSE,Generic enzyme,"Glycoprotein endo-alpha-1,2-mannosidase",,,,,
2914,,MANEAL,Maneal,MANEL_MOUSE,Generic enzyme,"Glycoprotein endo-alpha-1,2-mannosidase-like protein",,,,,
2915,,MANSC1,Mansc1,MANS1_MOUSE,Generic enzyme,MANSC domain-containing protein 1,,,,,
2916,,MAP-1A,Map1a,MAP1A_MOUSE,Generic binding protein,Microtubule-associated protein 1A,,,,,
2917,,MAP-1B,Map1b,MAP1B_MOUSE,Generic binding protein,Microtubule-associated protein 1B,,,,,
2918,,MAP1LC3A,Map1lc3a,MLP3A_MOUSE,Generic binding protein,Microtubule-associated proteins 1A/1B light chain 3A,,,,,
2919,,MAP1LC3B,Map1lc3b,MLP3B_MOUSE,Generic binding protein,Microtubule-associated proteins 1A/1B light chain 3B,,,,,
2920,,MAP6D1,Map6d1,MA6D1_MOUSE,Generic binding protein,MAP6 domain-containing protein 1,,,,,
2921,,MAP7(EMAP115),Map7,MAP7_MOUSE,Generic binding protein,Ensconsin,,,,,
2922,,MAPK1IP1L,Mapk1ip1l,MISSL_MOUSE,Protein,MAPK-interacting and spindle-stabilizing protein-like,,,,,
2923,,MAPKAPK3,Mapkapk3,MAPK3_MOUSE,Protein kinase,MAP kinase-activated protein kinase 3,,,,,
2924,,MAPKBP1,Mapkbp1,MABP1_MOUSE,Generic binding protein,Mitogen-activated protein kinase-binding protein 1,,,,,
2925,,MAPRPE1(EB1),Mapre1,MARE1_MOUSE,Generic binding protein,Microtubule-associated protein RP/EB family member 1,,,,,
2926,,MARK1,Mark1,MARK1_MOUSE,Protein kinase,Serine/threonine-protein kinase MARK1,,,,,
2927,,MARK2,Mark2,MARK2_MOUSE,Protein kinase,Serine/threonine-protein kinase MARK2,,,,,
2928,,MARK3,Mark3,MARK3_MOUSE,Protein kinase,MAP/microtubule affinity-regulating kinase 3,,,,,
2929,,MARLIN1,Jakmip1,JKIP1_MOUSE,Generic binding protein,Janus kinase and microtubule-interacting protein 1,,,,,
2930,,MASK,Ankhd1,Ankhd1,Generic binding protein,ankyrin repeat and KH domain containing 1,,,,,
2931,,MASP1,Masp1,MASP1_MOUSE,Generic protease,Mannan-binding lectin serine protease 1,,,,,
2932,,MAST1,Mast1,MAST1_MOUSE,Protein kinase,Microtubule-associated serine/threonine-protein kinase 1,,,,,
2933,,MAST205,Mast2,MAST2_MOUSE,Protein kinase,Microtubule-associated serine/threonine-protein kinase 2,,,,,
2934,,MAST3,Mast3,MAST3_MOUSE,Protein kinase,Microtubule-associated serine/threonine-protein kinase 3,,,,,
2935,,MAT1,Mnat1,MAT1_MOUSE,Generic binding protein,CDK-activating kinase assembly factor MAT1,,,,,
2936,,MAT2A,Mat2a,METK2_MOUSE,Generic enzyme,S-adenosylmethionine synthase isoform type-2,,,,,
2937,,MAT2B,Mat2b,MAT2B_MOUSE,Generic enzyme,Methionine adenosyltransferase 2 subunit beta,,,,,
2938,,MATK,Matk,MATK_MOUSE,Protein kinase,Megakaryocyte-associated tyrosine-protein kinase,,,,,
2939,,MAWBP,Pbld1,PBLD1_MOUSE,Generic enzyme,Phenazine biosynthesis-like domain-containing protein 1,,,,,
2940,,MAZ,Maz,MAZ_MOUSE,Transcription factor,Myc-associated zinc finger protein,,,,,
2941,,MAZR,Patz1,PATZ1_MOUSE,Transcription factor,POZ (BTB) and AT hook-containing zinc finger 1,,,,,
2942,,MBD5,Mbd5,MBD5_MOUSE,Generic binding protein,Methyl-CpG-binding domain protein 5,,,,,
2943,,MBD6,Mbd6,MBD6_MOUSE,Generic binding protein,Methyl-CpG-binding domain protein 6,,,,,
2944,,MBIP,Mbip,MBIP1_MOUSE,Generic binding protein,MAP3K12-binding inhibitory protein 1,,,,,
2945,,MBLAC2,Mblac2,MBLC2_MOUSE,Generic enzyme,Acyl-coenzyme A thioesterase MBLAC2,,,,,
2946,,MBNL3,Mbnl3,MBNL3_MOUSE,Generic binding protein,Muscleblind-like protein 3,,,,,
2947,,MBT domain-containing protein 1,Mbtd1,MBTD1_MOUSE,Generic binding protein,MBT domain-containing protein 1,,,,,
2948,,MBTD1,Mbtd1,MBTD1_MOUSE,Generic binding protein,MBT domain-containing protein 1,,,,,
2949,,MC-CPA,Cpa3,CBPA3_MOUSE,Generic protease,Mast cell carboxypeptidase A,,,,,
2950,,MCART1,Slc25a51,S2551_MOUSE,Generic binding protein,Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A51,,,,,
2951,,MCART6,Slc25a53,Mcart6,Generic binding protein,mitochondrial carrier triple repeat 6,,,,,
2952,,MCCC2,Mccc2,MCCB_MOUSE,Generic enzyme,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",,,,,
2953,,MCEE,Mcee,MCEE_MOUSE,Generic enzyme,"Methylmalonyl-CoA epimerase, mitochondrial",,,,,
2954,,MCFD2,Mcfd2,MCFD2_MOUSE,Generic binding protein,Multiple coagulation factor deficiency protein 2 homolog,,,,,
2955,,MCM2,Mcm2,MCM2_MOUSE,Generic binding protein,DNA replication licensing factor MCM2,,,,,
2956,,MCM5,Mcm5,MCM5_MOUSE,Generic enzyme,DNA replication licensing factor MCM5,,,,,
2957,,MCM7,Mcm7,MCM7_MOUSE,Generic enzyme,DNA replication licensing factor MCM7,,,,,
2958,,MCM8,Mcm8,MCM8_MOUSE,Generic enzyme,DNA helicase MCM8,,,,,
2959,,MCM9,Mcm9,MCM9_MOUSE,Generic enzyme,DNA helicase MCM9,,,,,
2960,,MCP,Cd46,MCP_MOUSE,Generic receptor,Membrane cofactor protein,,,,,
2961,,MCT-1,Mcts1,MCTS1_MOUSE,Generic binding protein,Malignant T-cell-amplified sequence 1,,,,,
2962,,MDH2,Mdh2,MDHM_MOUSE,Generic enzyme,"Malate dehydrogenase, mitochondrial",,,,,
2963,,MDM2,Mdm2,MDM2_MOUSE,Generic enzyme,E3 ubiquitin-protein ligase Mdm2,,,,,
2964,,MDS025,Ccdc90b,CC90B_MOUSE,Protein,"Coiled-coil domain-containing protein 90B, mitochondrial",,,,,
2965,,MDS028,Itfg2,ITFG2_MOUSE,Generic binding protein,KICSTOR complex protein ITFG2,,,,,
2966,,MED1,Med1,MED1_MOUSE,Transcription factor,Mediator of RNA polymerase II transcription subunit 1,,,,,
2967,,MED12L,Med12l,MD12L_MOUSE,Protein,Mediator of RNA polymerase II transcription subunit 12-like protein,,,,,
2968,,MED15,Med15,MED15_MOUSE,Generic binding protein,Mediator of RNA polymerase II transcription subunit 15,,,,,
2969,,MED29,Med29,MED29_MOUSE,Generic binding protein,Mediator of RNA polymerase II transcription subunit 29,,,,,
2970,,MED8,Med8,MED8_MOUSE,Generic binding protein,Mediator of RNA polymerase II transcription subunit 8,,,,,
2971,,MED9,Med9,MED9_MOUSE,Generic binding protein,Mediator of RNA polymerase II transcription subunit 9,,,,,
2972,,MEF2A,Mef2a,MEF2A_MOUSE,Transcription factor,Myocyte-specific enhancer factor 2A,,,,,
2973,,MEF2B,Mef2b,MEF2B_MOUSE,Transcription factor,Myocyte-specific enhancer factor 2B,,,,,
2974,,MEF2B,Mef2bl,MEF2B_MOUSE,Transcription factor,Myocyte-specific enhancer factor 2B,,,,,
2975,,MEF2C,Mef2c,MEF2C_MOUSE,Transcription factor,Myocyte-specific enhancer factor 2C,,,,,
2976,,MEGF10,Megf10,MEG10_MOUSE,Generic binding protein,Multiple epidermal growth factor-like domains protein 10,,,,,
2977,,MEGF8,Megf8,MEGF8_MOUSE,Generic binding protein,Multiple epidermal growth factor-like domains protein 8,,,,,
2978,,MEI4,Mei4,MEI4L_MOUSE,Generic binding protein,Meiosis-specific protein MEI4,,,,,
2979,,MEIG1,Meig1,MEIG1_MOUSE,Generic binding protein,Meiosis-expressed gene 1 protein,,,,,
2980,,MEIS2,Meis2,MEIS2_MOUSE,Transcription factor,Homeobox protein Meis2,,,,,
2981,,MEK3(MAP2K3),Map2k3,MP2K3_MOUSE,Protein kinase,Dual specificity mitogen-activated protein kinase kinase 3,,,,,
2982,,MEK6(MAP2K6),Map2k6,MP2K6_MOUSE,Protein kinase,Dual specificity mitogen-activated protein kinase kinase 6,,,,,
2983,,MEL1,Prdm16,PRD16_MOUSE,Transcription factor,Histone-lysine N-methyltransferase PRDM16,,,,,
2984,,MEST,Mest,MEST_MOUSE,Generic protease,Mesoderm-specific transcript protein,,,,,
2985,,METT10D,Mettl16,MET16_MOUSE,Generic enzyme,RNA N6-adenosine-methyltransferase METTL16,,,,,
2986,,METTL14,Mettl14,MET14_MOUSE,Generic enzyme,N6-adenosine-methyltransferase non-catalytic subunit,,,,,
2987,,METTL4,Mettl4,METL4_MOUSE,Generic enzyme,N(6)-adenine-specific methyltransferase METTL4,,,,,
2988,,METTL6,Mettl6,METL6_MOUSE,Generic enzyme,tRNA N(3)-methylcytidine methyltransferase METTL6,,,,,
2989,,MEX3A,Mex3a,2700083E18Rik,Generic binding protein,RIKEN cDNA 2700083E18 gene,,,,,
2990,,MEX3C,Mex3c,MEX3C_MOUSE,Generic binding protein,RNA-binding E3 ubiquitin-protein ligase MEX3C,,,,,
2991,,MFAP3,Mfap3,MFAP3_MOUSE,Generic binding protein,Microfibril-associated glycoprotein 3,,,,,
2992,,MFAP3L,Mfap3l,MFA3L_MOUSE,Protein,Microfibrillar-associated protein 3-like,,,,,
2993,,MFHAS1,Mfhas1,MFHA1_MOUSE,Generic binding protein,Malignant fibrous histiocytoma-amplified sequence 1 homolog,,,,,
2994,,MFSD1,Mfsd1,MFSD1_MOUSE,Transporter,Lysosomal dipeptide transporter MFSD1,,,,,
2995,,MFSD8,Mfsd8,MFSD8_MOUSE,Transporter,Major facilitator superfamily domain-containing protein 8,,,,,
2996,,MGA,Mga,MGAP_MOUSE,Transcription factor,MAX gene-associated protein,,,,,
2997,,MGAT1,Mgat1,MGAT1_MOUSE,Generic enzyme,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",,,,,
2998,,MGAT4A,Mgat4a,MGT4A_MOUSE,Generic enzyme,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",,,,,
2999,,MGC13057,1700019D03Rik,SMAKA_MOUSE,Generic binding protein,Small membrane A-kinase anchor protein,,,,,
3000,,MGC16169,Tbck,TBCK_MOUSE,Protein kinase,TBC domain-containing protein kinase-like protein,,,,,
3001,,MGF,Kitl,SCF_MOUSE,Receptor ligand,Kit ligand,,,,,
3002,,MGST,Mgst1,MGST1_MOUSE,Generic enzyme,Microsomal glutathione S-transferase 1,,,,,
3003,,MGST3,Mgst3,MGST3_MOUSE,Generic enzyme,"Glutathione S-transferase 3, mitochondrial",,,,,
3004,,MIA,Mia,MIA_MOUSE,Generic binding protein,Melanoma-derived growth regulatory protein,,,,,
3005,,MICAL3,Mical3,MICA3_MOUSE,Generic enzyme,[F-actin]-monooxygenase MICAL3,,,,,
3006,,MID1,Mid1,TRI18_MOUSE,Generic binding protein,E3 ubiquitin-protein ligase Midline-1,,,,,
3007,,MID1IP1,Mid1ip1,M1IP1_MOUSE,Generic binding protein,Mid1-interacting protein 1,,,,,
3008,,MIF,Mif,MIF_MOUSE,Receptor ligand,Macrophage migration inhibitory factor,Anti-MIF Antibody,,,,
3009,,MIF4GD,Mif4gd,MI4GD_MOUSE,Generic binding protein,MIF4G domain-containing protein,,,,,
3010,,MIG6,Errfi1,ERRFI_MOUSE,Generic binding protein,ERBB receptor feedback inhibitor 1,,,,,
3011,,MINK1,Mink1,MINK1_MOUSE,Protein kinase,Misshapen-like kinase 1,,,,,
3012,,MINP1,Minpp1,MINP1_MOUSE,Generic phosphatase,Multiple inositol polyphosphate phosphatase 1,,,,,
3013,,MIP-T3,Traf3ip1,MIPT3_MOUSE,Generic binding protein,TRAF3-interacting protein 1,,,,,
3014,,MIPOL1,Mipol1,MIPO1_MOUSE,Generic kinase,Mirror-image polydactyly gene 1 protein homolog,,,,,
3015,,MIR (Idol),Mylip,MYLIP_MOUSE,Generic enzyme,E3 ubiquitin-protein ligase MYLIP,,,,,
3016,,MIRK,Dyrk1b,DYR1B_MOUSE,Protein kinase,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,,,,,
3017,,MITF,Mitf,MITF_MOUSE,Transcription factor,Microphthalmia-associated transcription factor,,,,,
3018,,MJD (ataxin-3),Atxn3,ATX3_MOUSE,Generic enzyme,Ataxin-3,,,,,
3019,,MKI67IP,Nifk,MK67I_MOUSE,Generic binding protein,MKI67 FHA domain-interacting nucleolar phosphoprotein,,,,,
